Sample	coverage_X	coverage_auto	ratio
GFB-7447_HWNGYDSX5_3_TRICHURIS600Tiagba_S17_L003	21.3468	20.8265	1.02498259429092742419
GFB-7546_HWNGYDSX5_3_TRICHURIS740Tiagba_S116_L003	14.6882	24.568	.59785900358189514816
GFB-7674_HWNGYDSX5_3_TRICHURIS923Tiagba_S244_L003	19.7869	32.3518	.61161666429688610834
GFB-7414_HWNGYDSX5_2_TRICHURIS548Tiagba_S362_L002	20.9174	19.4166	1.07729468599033816425
GFB-7592_HWNGYDSX5_3_TRICHURIS795Tiagba_S162_L003	18.3199	16.8496	1.08726023169689488177
GFB-7645_HWNGYDSX5_3_TRICHURIS873Tiagba_S215_L003	17.973	31.4351	.57174941387175482183
GFB-7751_HWNGYDSX5_3_TRICHURIS1020Tiagba_S321_L003	14.4872	23.3557	.62028541212637600243
GFB-7160_HWNGYDSX5_2_TRICHURIS159Akakro_S108_L002	28.0889	28.9727	.96949542155201275683
GFB-7594_HWNGYDSX5_3_TRICHURIS798Tiagba_S164_L003	20.0408	19.341	1.03618220360891370663
GFB-7282_HWNGYDSX5_2_TRICHURIS367Akakro_S230_L002	24.8975	24.2953	1.02478668713701827102
GFB-7071_HWNGYDSX5_2_TRICHURIS19Bekpou_S19_L002	26.5787	25.3063	1.05027996980988923706
GFB-7213_HWNGYDSX5_2_TRICHURIS226Akakro_S161_L002	12.9235	23.6044	.54750385521343478334
GFB-7368_HWNGYDSX5_2_TRICHURIS479Akakro_S316_L002	23.1911	21.2661	1.09051965334499508607
GFB-7158_HWNGYDSX5_2_TRICHURIS156Akakro_S106_L002	14.0721	23.9128	.58847562811548626676
GFB-7610_HWNGYDSX5_3_TRICHURIS816Tiagba_S180_L003	12.0398	22.7905	.52828152080910905859
GFB-7649_HWNGYDSX5_3_TRICHURIS879Tiagba_S219_L003	23.4427	22.4305	1.04512605603976728115
GFB-7227_HWNGYDSX5_2_TRICHURIS244Akakro_S175_L002	12.7881	22.4301	.57013120761833429186
GFB-7402_HWNGYDSX5_2_TRICHURIS535Tiagba_S350_L002	24.8622	23.3997	1.06250080129232426056
GFB-7171_HWNGYDSX5_2_TRICHURIS172Akakro_S119_L002	23.1689	21.6102	1.07212797660364087329
GFB-7531_HWNGYDSX5_3_TRICHURIS721Tiagba_S101_L003	33.1269	30.9678	1.06972080677348729971
GFB-7186_HWNGYDSX5_2_TRICHURIS193Akakro_S134_L002	25.2518	25.5644	.98777205801818153369
GFB-7298_HWNGYDSX5_2_TRICHURIS386Akakro_S246_L002	24.5236	24.5304	.99972279294263444542
GFB-7504_HWNGYDSX5_3_TRICHURIS692Tiagba_S74_L003	27.6483	27.6952	.99830656575868742597
