Sample	coverage_btub	coverage_autosome	ratio
GFB-7447_HWNGYDSX5_3_TRICHURIS600Tiagba_S17_L003	291.429	21.3468	13.65211647647422564506
GFB-7546_HWNGYDSX5_3_TRICHURIS740Tiagba_S116_L003	108.975	14.6882	7.41922087117550142291
GFB-7674_HWNGYDSX5_3_TRICHURIS923Tiagba_S244_L003	175.107	19.7869	8.84964294558521041699
GFB-7414_HWNGYDSX5_2_TRICHURIS548Tiagba_S362_L002	109.815	20.9174	5.24993546043007257116
GFB-7592_HWNGYDSX5_3_TRICHURIS795Tiagba_S162_L003	171.853	18.3199	9.38067347529189569812
GFB-7645_HWNGYDSX5_3_TRICHURIS873Tiagba_S215_L003	159.589	17.973	8.87937461748177822288
GFB-7751_HWNGYDSX5_3_TRICHURIS1020Tiagba_S321_L003	136.06	14.4872	9.39173891435197967861
GFB-7160_HWNGYDSX5_2_TRICHURIS159Akakro_S108_L002	384.005	28.0889	13.67105867442299271242
GFB-7594_HWNGYDSX5_3_TRICHURIS798Tiagba_S164_L003	323.434	20.0408	16.13877689513392678934
GFB-7282_HWNGYDSX5_2_TRICHURIS367Akakro_S230_L002	261.741	24.8975	10.51274224319710814338
GFB-7071_HWNGYDSX5_2_TRICHURIS19Bekpou_S19_L002	463.436	26.5787	17.43636821966461866080
GFB-7213_HWNGYDSX5_2_TRICHURIS226Akakro_S161_L002	125.86	12.9235	9.73884783533872402986
GFB-7368_HWNGYDSX5_2_TRICHURIS479Akakro_S316_L002	200.486	23.1911	8.64495431437059906602
GFB-7158_HWNGYDSX5_2_TRICHURIS156Akakro_S106_L002	128.007	14.0721	9.09651011576097384185
GFB-7610_HWNGYDSX5_3_TRICHURIS816Tiagba_S180_L003	127.264	12.0398	10.57027525374175650758
GFB-7649_HWNGYDSX5_3_TRICHURIS879Tiagba_S219_L003	243.958	23.4427	10.40656579660192725240
GFB-7227_HWNGYDSX5_2_TRICHURIS244Akakro_S175_L002	116.758	12.7881	9.13020698931037448878
GFB-7402_HWNGYDSX5_2_TRICHURIS535Tiagba_S350_L002	172.319	24.8622	6.93096347065022403488
GFB-7171_HWNGYDSX5_2_TRICHURIS172Akakro_S119_L002	269.112	23.1689	11.61522558256973788138
GFB-7531_HWNGYDSX5_3_TRICHURIS721Tiagba_S101_L003	246.476	33.1269	7.44035813794831390803
GFB-7186_HWNGYDSX5_2_TRICHURIS193Akakro_S134_L002	372.404	25.2518	14.74762195170245289444
GFB-7298_HWNGYDSX5_2_TRICHURIS386Akakro_S246_L002	399.187	24.5236	16.27766722667145117356
GFB-7504_HWNGYDSX5_3_TRICHURIS692Tiagba_S74_L003	328.688	27.6483	11.88818119016359052816
GFB-7393_HWNGYDSX5_2_TRICHURIS520Akakro_S341_L002	276.988	25.0794	11.04444284950995637854
GFB-7340_HWNGYDSX5_2_TRICHURIS441Akakro_S288_L002	266.479	20.9248	12.73507990518427894173
GFB-7673_HWNGYDSX5_3_TRICHURIS919Tiagba_S243_L003	62.212	17.3875	3.57797268152408339324
GFB-7379_HWNGYDSX5_2_TRICHURIS499Akakro_S327_L002	120.182	13.1249	9.15679357557009958171
GFB-7750_HWNGYDSX5_3_TRICHURIS1018Tiagba_S320_L003	222.88	24.6316	9.04853927475275662157
GFB-7439_HWNGYDSX5_3_TRICHURIS583Tiagba_S9_L003	386.494	28.9244	13.36221321790598940686
GFB-7422_HWNGYDSX5_2_TRICHURIS563Tiagba_S370_L002	292.117	29.0875	10.04269875376020627417
GFB-7119_HWNGYDSX5_2_TRICHURIS71Akakro_S67_L002	231.758	18.2448	12.70268788915197754976
GFB-7505_HWNGYDSX5_3_TRICHURIS693Tiagba_S75_L003	221.546	23.5749	9.39753721118647374962
GFB-7074_HWNGYDSX5_2_TRICHURIS25Bekpou_S22_L002	311.993	13.3689	23.33722295776017473389
GFB-7715_HWNGYDSX5_3_TRICHURIS966Tiagba_S285_L003	270.312	21.5522	12.54219986822690954983
GFB-7728_HWNGYDSX5_3_TRICHURIS979Tiagba_S298_L003	145.574	18.0677	8.05714064324734194169
GFB-7787_HWNGYDSX5_3_TRICHURISP-6Tiagba_S357_L003	8.77805	6.59438	1.33114106254113351065
GFB-7093_HWNGYDSX5_2_TRICHURIS45Ahouya_S41_L002	330.494	28.0457	11.78412376941919795191
GFB-7612_HWNGYDSX5_3_TRICHURIS818Tiagba_S182_L003	195.546	21.7431	8.99347379168563820246
GFB-7376_HWNGYDSX5_2_TRICHURIS492Akakro_S324_L002	95.98	10.5176	9.12565604320377272381
GFB-7294_HWNGYDSX5_2_TRICHURIS382Akakro_S242_L002	316.025	28.7601	10.98831367067569306087
GFB-7614_HWNGYDSX5_3_TRICHURIS820Tiagba_S184_L003	125.546	17.0475	7.36448159554186830913
GFB-7377_HWNGYDSX5_2_TRICHURIS493Akakro_S325_L002	189.546	26.9148	7.04244504882072317089
GFB-7598_HWNGYDSX5_3_TRICHURIS804Tiagba_S168_L003	177.117	23.6103	7.50168358724793839976
GFB-7482_HWNGYDSX5_3_TRICHURIS645Tiagba_S52_L003	277.254	23.1976	11.95183984550125875090
GFB-7284_HWNGYDSX5_2_TRICHURIS369Akakro_S232_L002	134.18	11.1098	12.07762515976885272462
GFB-7684_HWNGYDSX5_3_TRICHURIS934Tiagba_S254_L003	143.476	16.4334	8.73075565616366667883
GFB-7499_HWNGYDSX5_3_TRICHURIS687Tiagba_S69_L003	369.718	20.8487	17.73338385606776441696
GFB-7114_HWNGYDSX5_2_TRICHURIS66Akakro_S62_L002	313.813	25.8827	12.12443060422598878787
GFB-7551_HWNGYDSX5_3_TRICHURIS746Tiagba_S121_L003	204.611	22.7181	9.00651903108094426910
GFB-7142_HWNGYDSX5_2_TRICHURIS127Akakro_S90_L002	124.224	14.5761	8.52244427521765081194
GFB-7760_HWNGYDSX5_3_TRICHURIS1067Tiagba_S330_L003	19.4264	3.52701	5.50789478907062922985
GFB-7784_HWNGYDSX5_3_TRICHURISP-3Tiagba_S354_L003	24.9451	12.2004	2.04461329136749614766
GFB-7090_HWNGYDSX5_2_TRICHURIS42Ahouya_S38_L002	302.314	26.3484	11.47371377389139378482
GFB-7780_HWNGYDSX5_3_TRICHURIS1095Teffredji_S350_L003	248.334	16.7485	14.82723826014269934621
GFB-7056_HWNGYDSX5_2_TRICHURIS5Bekpou_S4_L002	288.591	27.0712	10.66044357102751263335
GFB-7264_HWNGYDSX5_2_TRICHURIS328Akakro_S212_L002	230.197	22.4222	10.26647697371355174782
GFB-7252_HWNGYDSX5_2_TRICHURIS316Akakro_S200_L002	168.96	15.3719	10.99148446190776676923
GFB-7314_HWNGYDSX5_2_TRICHURIS406Akakro_S262_L002	356.107	33.8562	10.51822118253082153342
GFB-7774_HWNGYDSX5_3_TRICHURIS1087Tiagba_S344_L003	140.843	15.1804	9.27795051513794102922
GFB-7766_HWNGYDSX5_3_TRICHURIS1075Tiagba_S336_L003	356.247	29.5697	12.04770423778394775733
GFB-7193_HWNGYDSX5_2_TRICHURIS202Akakro_S141_L002	253.454	18.9336	13.38646638779735496683
GFB-7100_HWNGYDSX5_2_TRICHURIS52NDoumikro_S48_L002	165.616	23.777	6.96538671825713925221
